#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC   mi    ft
2013 02 01 21 50 180  0.0  0.0  0.00 99.00  4.93 999 1023.5   6.6   9.0  -9.7 99.0 99.00
2013 02 01 22 50 339  4.9  7.2  0.00 99.00  4.45 999 1024.9   5.3   8.3  -7.9 99.0 99.00
2013 02 01 23 50 330  4.3  5.9  0.00 99.00  4.65 999 1025.8   4.3   7.5 -10.1 99.0 99.00
2013 02 02 00 50 338  4.0  5.3  0.00 99.00  4.83 999 1027.1   3.6   6.9  -9.8 99.0 99.00
2013 02 02 01 50 335  3.5  4.9  0.00 99.00  4.74 999 1027.6   3.1   6.3  -9.9 99.0 99.00
2013 02 02 02 50 346  3.3  4.9  0.00 99.00  4.39 999 1028.3   2.9   5.8  -8.5 99.0 99.00
2013 02 02 03 50 350  4.9  6.4  0.00 99.00  4.73 999 1029.0   2.3   5.1  -9.0 99.0 99.00
2013 02 02 04 50 348  4.0  5.7  0.00 99.00  4.32 999 1029.0   1.9   4.6  -8.4 99.0 99.00
2013 02 02 05 50 352  4.5  6.0  0.00 99.00  4.30 999 1029.3   1.3   4.0  -9.3 99.0 99.00
2013 02 02 06 50  16  4.7  6.5  0.00 99.00  4.27 999 1029.4   1.0   3.3  -7.9 99.0 99.00
2013 02 02 07 50  18  4.4  5.3  0.00 99.00  4.61 999 1029.0  -0.1   2.5  -8.5 99.0 99.00
2013 02 02 08 50  18  4.2  5.3  0.00 99.00  4.44 999 1028.8  -0.2   2.0  -8.9 99.0 99.00
2013 02 02 09 50   2  5.4  7.0  0.00 99.00  4.64 999 1029.1  -0.1   1.7  -9.7 99.0 99.00
2013 02 02 10 50 358  4.7  5.6  0.01 99.00  4.92 999 1029.4  -0.6   1.5  -9.8 99.0 99.00
2013 02 02 11 50  15  5.0  6.0  0.00 99.00  4.45 999 1029.3  -0.7   1.1  -9.0 99.0 99.00
2013 02 02 12 50  12  4.6  5.7  0.00 99.00  4.18 999 1029.9  -0.7 999.0  -8.6 99.0 99.00
2013 02 02 13 50  19  1.9  3.3  0.00 99.00  4.30 999 1029.9  -0.2   1.6  -8.7 99.0 99.00
2013 02 02 14 50  68  0.4  1.5  0.00 99.00  4.44 999 1029.8   0.9   2.4  -9.8 99.0 99.00
2013 02 02 15 50 188  0.6  1.4  0.00 99.00  4.42 999 1029.6   2.8   3.2  -9.4 99.0 99.00
2013 02 02 16 50 190  1.5  2.9  0.00 99.00  4.51 999 1028.6   3.0   4.0  -7.9 99.0 99.00
2013 02 02 17 50 193  1.5  2.5  0.00 99.00  4.88 999 1027.1   3.9   4.7 999.0 99.0 99.00
2013 02 02 18 50 192  1.6  3.0  0.00 99.00  4.62 999 1025.7   4.4   5.4 -11.3 99.0 99.00
2013 02 02 19 50 195  1.3  2.8  0.00 99.00  4.45 999 1024.4   5.0   5.9  -6.7 99.0 99.00
2013 02 02 20 50 168  1.1  2.3  0.00 99.00  4.38 999 1023.4   5.7   6.4  -4.9 99.0 99.00
2013 02 02 21 50 201  2.0  3.0  0.00 99.00  4.30 999 1022.7   6.0   7.0  -2.6 99.0 99.00
2013 02 02 22 50 189  1.4  2.6  0.00 99.00  4.16 999 1021.8   6.1   7.1  -1.1 99.0 99.00
2013 02 02 23 50 251  0.3  0.9  0.00 99.00  4.19 999 1021.4   6.0   7.0   0.5 99.0 99.00
2013 02 03 00 50 249  0.3  0.9  0.00 99.00  4.51 999 1020.4   6.0   6.7   1.7 99.0 99.00
2013 02 03 01 50 180  0.1  0.6  0.00 99.00  4.59 999 1019.2   6.0   6.5   2.4 99.0 99.00
2013 02 03 02 50 144  0.1  0.5  0.00 99.00  4.40 999 1018.3   6.2   6.3   3.5 99.0 99.00
2013 02 03 03 50 220  0.3  0.9  0.00 99.00  4.48 999 1017.6   7.9   6.2   4.9 99.0 99.00
2013 02 03 04 50 253  4.5  7.6  0.00 99.00  4.53 999 1017.2  10.9   7.0   7.2 99.0 99.00
2013 02 03 05 50 257  6.1  7.8  0.00 99.00  4.74 999 1016.4  10.7   8.6   5.9 99.0 99.00
2013 02 03 06 50 256  3.1  6.0  0.00 99.00  4.50 999 1016.2   8.2   8.3   3.8 99.0 99.00
2013 02 03 07 50 276  1.0  3.0  0.00 99.00  4.46 999 1015.4   6.9   7.6   3.0 99.0 99.00
2013 02 03 08 50 259  2.2  3.4  0.00 99.00  4.38 999 1014.7   6.9   7.3   2.5 99.0 99.00
2013 02 03 09 50 259  2.9  3.9  0.00 99.00  4.24 999 1014.3   7.2   7.3   2.0 99.0 99.00
2013 02 03 10 50 267  2.0  5.2  0.00 99.00  4.43 999 1014.1   6.7   7.0   2.4 99.0 99.00
2013 02 03 11 50 260  1.7  3.1  0.00 99.00  4.61 999 1014.1   6.5   6.9   2.6 99.0 99.00
2013 02 03 12 50 258  2.0  2.7  0.00 99.00  4.58 999 1014.1   6.0   6.7   2.0 99.0 99.00
2013 02 03 13 50 266  2.0  4.7  0.00 99.00  4.31 999 1014.5   6.4   6.7   1.8 99.0 99.00
2013 02 03 14 50 255  2.7  5.4  0.00 99.00  4.24 999 1014.3   7.1   7.1   2.1 99.0 99.00
2013 02 03 15 50 322  3.3  5.3  0.04 99.00 15.72 999 1013.8   7.9   7.8   0.9 99.0 99.00
2013 02 03 16 50 269  2.7  9.1  0.00 99.00  4.42 999 1013.1   8.8   8.5  -0.5 99.0 99.00
2013 02 03 17 50 320  3.8  7.4  0.00 99.00  4.66 999 1012.4   8.7   9.0   0.3 99.0 99.00
2013 02 03 18 50 258  3.6  7.2  0.00 99.00  4.29 999 1011.4   9.4   9.4  -0.4 99.0 99.00
2013 02 03 19 50 303  2.6  4.9  0.00 99.00  4.32 999 1011.0  10.3   9.9   0.3 99.0 99.00
2013 02 03 20 50 272  2.2  7.3  0.00 99.00  4.49 999 1011.6  10.4  10.1  -0.7 99.0 99.00
2013 02 03 21 50 268  3.3  8.0  0.00 99.00  4.41 999 1012.0  10.4  10.5  -1.5 99.0 99.00
2013 02 03 22 50 293  1.6  3.9  0.00 99.00  4.52 999 1012.5   9.7  10.3  -0.9 99.0 99.00
2013 02 03 23 50 266  0.6  1.9  0.00 99.00  4.22 999 1013.2   8.2   9.7   0.8 99.0 99.00
2013 02 04 00 50 253  1.5  1.9  0.00 99.00  4.46 999 1013.5   7.7   9.2  -0.2 99.0 99.00
2013 02 04 01 50 257  1.3  1.7  0.00 99.00  4.24 999 1013.9   7.9   8.7   0.4 99.0 99.00
2013 02 04 02 50 262  1.0  1.7  0.00 99.00  4.24 999 1014.4   7.5   8.3  -0.4 99.0 99.00
2013 02 04 03 50 263  0.6  1.5  0.00 99.00  4.33 999 1014.6   7.4   7.9   2.3 99.0 99.00
2013 02 04 04 50 340  4.7  6.3  0.00 99.00  4.45 999 1015.3   6.8   7.7   0.2 99.0 99.00
2013 02 04 05 50 343  4.3  5.6  0.00 99.00  4.65 999 1015.6   5.9   7.2   0.2 99.0 99.00
2013 02 04 06 50 349  3.8  4.9  0.00 99.00  4.52 999 1016.3   5.2   6.8  -0.5 99.0 99.00
2013 02 04 07 50 350  3.4  4.7  0.00 99.00  4.46 999 1016.7   4.9   6.4  -1.2 99.0 99.00
2013 02 04 08 50 338  4.2  6.4  0.00 99.00  4.68 999 1017.4   4.8   6.2  -2.3 99.0 99.00
2013 02 04 09 50 339  4.9  6.6  0.00 99.00  4.47 999 1018.0   4.1   5.8  -2.9 99.0 99.00
2013 02 04 10 50 335  3.3  4.8  0.00 99.00  4.35 999 1018.6   3.6   5.3  -3.9 99.0 99.00
2013 02 04 11 50 341  3.0  4.1  0.00 99.00  4.87 999 1019.0   3.3   5.0  -4.1 99.0 99.00
2013 02 04 12 50 347  2.5  3.5  0.00 99.00  4.57 999 1019.6   3.0   4.8  -3.8 99.0 99.00
2013 02 04 13 50 360  3.4  4.6  0.00 99.00  4.21 999 1020.5   3.4   5.1  -4.9 99.0 99.00
2013 02 04 14 50   1  3.4  5.4  0.00 99.00  4.31 999 1020.8   4.0   5.4  -5.0 99.0 99.00
2013 02 04 15 50   8  3.6  5.6  0.00 99.00  4.42 999 1021.1   4.8   6.0  -6.5 99.0 99.00
2013 02 04 16 50 347  3.5  5.3  0.00 99.00  4.68 999 1020.5   5.6   6.6  -6.1 99.0 99.00
2013 02 04 17 50 324  1.6  2.7  0.00 99.00  4.48 999 1019.8   6.7   7.3  -6.5 99.0 99.00
